标题,小区,年限,户型,面积,楼层,单价,装修,总价,地址1,地址2,地址3,发布日期,url
彰泰红 城市中轴 东方美学馆 一院两馆+吾悦+万达+金茂中心,彰泰公园1号(山水大道),2018,3室2厅2卫,97.5,低层(共27层),6358.0,毛坯,62,临桂新区,临桂新区,"山水大道,近凤凰西路",2018年07月03日,https://guilin.anjuke.com/prop/view/A1307734662?from=filter&spread=commsearch_p&position=1&kwtype=filter&now_time=1532260440
团购价！三元及第只要5000多,三元极第,2018,3室2厅2卫,59.0,低层(共27层),10000.0,毛坯,59,灵川,八里街,城北师大附中北门,2018年06月25日,https://guilin.anjuke.com/prop/view/A1296841971?from=filter&spread=commsearch_p&position=8&kwtype=filter&now_time=1532260440
业主自售，看房方便，怡和东岸游泳池旁， 送地下室送车位,金地怡和东岸(七星路95号),2009,4室2厅2卫,172.0,低层(共12层),9011.0,精装修,155,七星,三里店,七星路95号,2018年07月20日,https://guilin.anjuke.com/prop/view/A1331427351?from=filter&spread=commsearch_p&position=7&kwtype=filter&now_time=1532260440
吾悦广场住宅楼盘精装修火爆认筹云轨一院两馆万达金茂,汇荣桂林桂林(临桂大道),2018,2室1厅1卫,78.0,中层(共30层),7179.0,精装修,56,临桂新区,临桂新区,"临桂大道,近平桂西路",2018年07月02日,https://guilin.anjuke.com/prop/view/A1307003700?from=filter&spread=commsearch_p&position=6&kwtype=filter&now_time=1532260440
灵川八里五路 翰林轩 精装修 3房98平 50万起,翰林轩(八里五路),2018,3室2厅2卫,98.0,高层(共33层),5102.0,精装修,50,灵川,八里街,八里五路,2018年06月22日,https://guilin.anjuke.com/prop/view/A1293327831?from=filter&spread=commsearch_p&position=5&kwtype=filter&now_time=1532260440
天悦城，83精装修，标准两房，2+1户型，华为中兴为邻居。,天悦城(广福路),2018,3室2厅2卫,83.0,低层(共33层),6987.0,精装修,58,临桂新区,临桂新区,广福路,2018年07月05日,https://guilin.anjuke.com/prop/view/A1311154059?from=filter&spread=commsearch_p&position=4&kwtype=filter&now_time=1532260440
成熟小区 配套齐全 交通便利 高赠送 集商业旅游医院一体化,碧园印象桂林,2018,6室2厅2卫,127.0,中层(共30层),5433.0,毛坯,69,临桂新区,临桂新区,机场路与大学路交汇处,2018年07月04日,https://guilin.anjuke.com/prop/view/A1308907155?from=filter&spread=commsearch_p&position=3&kwtype=filter&now_time=1532260440
新十字街商圈 近市政府中央公园 云轨旁 大润发超市 超值急售,奥林匹克花园(世纪东路),2012,3室2厅2卫,120.0,高层(共17层),5000.0,毛坯,60,临桂新区,临桂新区,"世纪东路,近西城大道",2018年07月06日,https://guilin.anjuke.com/prop/view/A1312648239?from=filter&spread=commsearch_p&position=2&kwtype=filter&now_time=1532260440
吾悦广场，大型商业中心，坐落临桂，近政府，近一院俩馆。,金茂中心(公园北路),2018,3室2厅1卫,78.0,低层(共32层),7179.0,精装修,56,临桂新区,临桂新区,"公园北路,近平桂西路",2018年07月02日,https://guilin.anjuke.com/prop/view/A1306165493?from=filter&spread=commsearch_p&position=25&kwtype=filter&now_time=1532260440
联发集团打造 超完 美户型 一院两馆旁 水系旁 会展中心旁,彰泰公园1号(山水大道),2018,4室2厅2卫,120.0,高层(共28层),6000.0,毛坯,72,临桂新区,临桂新区,"山水大道,近凤凰西路",2018年07月02日,https://guilin.anjuke.com/prop/view/A1306971497?from=filter&spread=commsearch_p&position=24&kwtype=filter&now_time=1532260440
临桂彰泰红，高品质，楼盘，大洋房，别墅,彰泰公园1号(山水大道),2018,3室2厅2卫,116.0,低层(共33层),6034.0,毛坯,70,临桂新区,临桂新区,"山水大道,近凤凰西路",2018年07月05日,https://guilin.anjuke.com/prop/view/A1310034575?from=filter&spread=commsearch_p&position=23&kwtype=filter&now_time=1532260440
房东急售康桥半岛 豪装电梯复式产权136平 5房仅售220万,康桥半岛,2008,5室2厅2卫,136.0,低层(共13层),16176.0,豪华装修,220,象山,铁西,民族路民族里98号,2018年06月23日,https://guilin.anjuke.com/prop/view/A1294473872?from=filter&spread=commsearch_p&position=22&kwtype=filter&now_time=1532260440
新城控股吾悦广场城市综合体项目商铺，精装住宅文体商业两大板块,汇荣桂林桂林(临桂大道),2018,3室2厅2卫,78.0,高层(共29层),7692.0,精装修,60,临桂新区,临桂新区,"临桂大道,近平桂西路",2018年07月08日,https://guilin.anjuke.com/prop/view/A1315230248?from=filter&spread=commsearch_p&position=21&kwtype=filter&now_time=1532260440
平顶复式非阁楼，大露台，天面独用可加建，送车位！,悠山郡(遇龙路),2016,5室2厅3卫,125.0,高层(共11层),11600.0,毛坯,145,象山,象山,"遇龙路,近环城西一路",2018年07月09日,https://guilin.anjuke.com/prop/view/A1316199071?from=filter&spread=commsearch_p&position=20&kwtype=filter&now_time=1532260440
一院两馆旁 新两江四湖水系边 毗邻云轨站碧桂园 超值小三房,彰泰城市1号(平桂西路),2016,3室2厅1卫,96.0,中层(共31层),7083.0,毛坯,68,临桂新区,临桂新区,平桂西路,2018年07月09日,https://guilin.anjuke.com/prop/view/A1316836172?from=filter&spread=commsearch_p&position=19&kwtype=filter&now_time=1532260440
天悦城 用两房的钱买三房 团购 白菜价,天悦城(广福路),2017,2室2厅1卫,64.0,低层(共33层),7187.0,精装修,46,临桂新区,临桂新区,广福路,2018年07月11日,https://guilin.anjuke.com/prop/view/A1319219237?from=filter&spread=commsearch_p&position=18&kwtype=filter&now_time=1532260440
彰泰本土实力开发商，临桂新区八大楼盘之一品质物业业主尊贵享受,彰泰滟澜山(金山路147号),2018,3室2厅2卫,89.6,低层(共33层),5245.0,毛坯,47,临桂新区,临桂新区,金山路147号,2018年07月12日,https://guilin.anjuke.com/prop/view/A1319849750?from=filter&spread=commsearch_p&position=17&kwtype=filter&now_time=1532260440
新上房源！幸福家大三房便宜出手，机不可失失不再来！有意致电,幸福家,2008,3室2厅2卫,134.0,低层(共11层),6417.0,精装修,86,象山,瓦窑,环城南环二路（加油站对面）,2018年07月10日,https://guilin.anjuke.com/prop/view/A1317539613?from=filter&spread=commsearch_p&position=16&kwtype=filter&now_time=1532260440
西城经济开发区，华为旁，大学城，云轨，精装3房,天悦城(广福路),2018,3室2厅2卫,83.1,中层(共33层),6979.0,毛坯,58,临桂新区,临桂新区,广福路,2018年07月06日,https://guilin.anjuke.com/prop/view/A1312511745?from=filter&spread=commsearch_p&position=15&kwtype=filter&now_time=1532260440
联发 悦溪府 未来新中心 世界500强 临会展中心 火爆认筹,彰泰城市1号(平桂西路),2018,3室2厅2卫,89.0,中层(共28层),5955.0,毛坯,53,临桂新区,临桂新区,平桂西路,2018年07月02日,https://guilin.anjuke.com/prop/view/A1306248942?from=filter&spread=commsearch_p&position=14&kwtype=filter&now_time=1532260440
临桂 碧园香樟林 天下步行街 小区有游泳池 交通方便,碧园香樟林,2012,2室2厅1卫,83.0,中层(共18层),5783.0,毛坯,48,临桂新区,临桂新区,桂林市临桂县金水路（原金刚石厂）,2018年07月22日,https://guilin.anjuke.com/prop/view/A1333871454?from=filter&spread=commsearch_p&position=13&kwtype=filter&now_time=1532260440
深耕广西十年 千亩门户大盘 高入住率 出行方便配套齐全,碧园印象桂林,2017,3室2厅2卫,109.0,高层(共29层),6146.0,毛坯,67,临桂新区,临桂新区,机场路与大学路交汇处,2018年07月22日,https://guilin.anjuke.com/prop/view/A1333904601?from=filter&spread=commsearch_p&position=12&kwtype=filter&now_time=1532260440
稀。缺大户型一手现房即买即住赶快入手吧，,佳城地王国际(凤凰路),2015,3室2厅2卫,147.0,高层(共28层),6054.0,毛坯,89,临桂新区,临桂新区,凤凰路,2018年06月09日,https://guilin.anjuke.com/prop/view/A1275317418?from=filter&spread=commsearch_p&position=11&kwtype=filter&now_time=1532260440
省十万，省十万！万达城代理，起价7800，售楼部9000。,桂林万达城(环城南一路),2018,3室2厅2卫,118.0,低层(共12层),7796.0,毛坯,92,七星,穿山,"环城南一路,近穿山东路",2018年06月19日,https://guilin.anjuke.com/prop/view/A1288646049?from=filter&spread=commsearch_p&position=10&kwtype=filter&now_time=1532260440
